rank,player,dg_rank,owgr_rank,rounds,sg_per_round,tour_source,birkdale_history_points,composite_score
1,"McIlroy, Rory",2,2,38,0.0668421052631579,PGA,6.0,0.9337
2,"Rahm, Jon",5,11,36,0.06694444444444445,LIV,0.0,0.8655
3,"Hatton, Tyrrell",23,22,18,0.10388888888888889,DPWT,0.0,0.851
4,"Scheffler, Scottie",1,1,58,0.048965517241379306,PGA,0.0,0.8501
5,"Morikawa, Collin",8,7,46,0.042826086956521736,PGA,0.0,0.809
6,"Fitzpatrick, Alex",28,65,30,0.060000000000000005,PGA,0.0,0.8037
7,"Fitzpatrick, Matt",3,3,64,0.033125,PGA,0.0,0.7966
8,"Fleetwood, Tommy",4,9,58,0.03327586206896552,PGA,0.0,0.7927
9,"Young, Cameron",9,4,56,0.03482142857142857,PGA,0.0,0.7902
10,"Schauffele, Xander",15,14,56,0.029285714285714283,PGA,2.0,0.7837
11,"Burns, Sam",6,18,58,0.029655172413793104,PGA,0.0,0.7777
12,"Henley, Russell",11,5,54,0.030370370370370367,PGA,0.0,0.7716
13,"Aberg, Ludvig",13,20,58,0.029482758620689654,PGA,0.0,0.7679
14,"Clark, Wyndham",7,8,62,0.02629032258064516,PGA,0.0,0.7664
15,"DeChambeau, Bryson",24,37,35,0.039142857142857146,LIV,0.0,0.7655
16,"Cantlay, Patrick",16,38,52,0.030192307692307692,PGA,0.0,0.7634
17,"Gotterup, Chris",12,6,70,0.02457142857142857,PGA,0.0,0.7559
18,"Kim, Si Woo",10,21,74,0.02337837837837838,PGA,0.0,0.7551
19,"Hovland, Viktor",14,12,54,0.026296296296296293,PGA,0.0,0.7542
20,"Rose, Justin",22,10,49,0.02897959183673469,PGA,0.0,0.7501
21,"Noren, Alex",45,25,59,0.01406779661016949,PGA,7.5,0.7483
22,"Knapp, Jake",39,45,42,0.036904761904761905,PGA,0.0,0.7467
23,"Bhatia, Akshay",25,29,55,0.026545454545454546,PGA,0.0,0.741
24,"MacIntyre, Robert",17,15,62,0.022419354838709677,PGA,0.0,0.7396
25,"McNealy, Maverick",20,39,62,0.023548387096774193,PGA,0.0,0.7396
26,"Thomas, Justin",21,19,50,0.0236,PGA,0.0,0.7348
27,"Reed, Patrick",38,26,44,0.031363636363636364,DPWT,0.0,0.7334
28,"Matsuyama, Hideki",35,31,64,0.01859375,PGA,3.0,0.7328
29,"Lee, Min Woo",27,24,,,,0.0,0.7314
30,"Niemann, Joaquin",31,48,22,0.035,DPWT,0.0,0.7306
31,"Spaun, J.J.",18,13,58,0.01982758620689655,PGA,0.0,0.7285
32,"English, Harris",26,32,62,0.02064516129032258,PGA,0.0,0.7215
33,"Lowry, Shane",32,46,52,0.02346153846153846,PGA,0.0,0.7206
34,"Scott, Adam",47,57,56,0.019642857142857146,PGA,3.0,0.7193
35,"Griffin, Ben",19,16,68,0.017058823529411765,PGA,0.0,0.7187
36,"Hojgaard, Nicolai",36,35,60,0.021500000000000002,PGA,0.0,0.7109
